Strategy,TimestampUTC,Return%,Sharpe,MaxDD%,Trades,WinRate%,AvgWin%,AvgLoss%,Expectancy%,Exposure%,prob,size,stop,take,trail,ok
3.6735016669587006,0.03585716048755503,0.0520278271584053,8.29252635426565,516.0,46.89922480620155,1.1351867686978812,2025-09-15 18:02:51,,,,0.55,0.5,0.01,0.02,0.01,True
3.6735016669587006,0.03585716048755503,0.0520278271584053,8.29252635426565,516.0,46.89922480620155,1.1351867686978812,2025-09-15 18:02:52,,,,0.55,0.5,0.01,0.02,0.02,True
2.198381247583403,0.022707751098139727,0.0318849843016251,7.892140831728067,516.0,46.70542635658915,1.0826423270190977,2025-09-15 18:02:53,,,,0.55,0.5,0.01,0.03,0.01,True
2.198381247583403,0.022707751098139727,0.0318849843016251,7.892140831728067,516.0,46.70542635658915,1.0826423270190977,2025-09-15 18:02:54,,,,0.55,0.5,0.01,0.03,0.02,True
3.2052618510077346,0.029784387599968865,0.0459225799094962,8.790754091906228,516.0,46.70542635658915,1.119026210912947,2025-09-15 18:02:55,,,,0.55,0.5,0.01,0.05,0.01,True
3.2052618510077346,0.029784387599968865,0.0459225799094962,8.790754091906228,516.0,46.70542635658915,1.119026210912947,2025-09-15 18:02:56,,,,0.55,0.5,0.01,0.05,0.02,True
2.1184252556923244,0.0202861281291926,0.0264002896282639,8.292526354265506,516.0,46.89922480620155,1.0763764146886217,2025-09-15 18:02:57,,,,0.55,0.5,0.02,0.02,0.01,True
3.4325106911214043,0.03172772306679711,0.0396033862081814,9.5042469394364,516.0,47.86821705426357,1.1252582634040376,2025-09-15 18:02:58,,,,0.55,0.5,0.02,0.02,0.02,True
0.6654312710481447,0.00729847243905558,0.0092225508992995,7.892140831728101,516.0,46.70542635658915,1.0266140191066366,2025-09-15 18:03:00,,,,0.55,0.5,0.02,0.03,0.01,True
1.9608192164974003,0.01921578101520259,0.0233096752920802,9.190639205580286,516.0,47.674418604651166,1.0735296004738866,2025-09-15 18:03:01,,,,0.55,0.5,0.02,0.03,0.02,True
1.6572089190387995,0.015399093787110702,0.0211781637130685,8.790754091906283,516.0,46.70542635658915,1.0611149843310594,2025-09-15 18:03:02,,,,0.55,0.5,0.02,0.05,0.01,True
2.9653593073002416,0.026303246918707078,0.0346671024465159,10.076584188940451,516.0,47.674418604651166,1.10935622914257,2025-09-15 18:03:03,,,,0.55,0.5,0.02,0.05,0.02,True
7.259987691379566,0.03585716942546093,0.0520278459756233,15.783966321447028,516.0,46.89922480620155,1.1351867686978812,2025-09-15 18:03:04,,,,0.55,1.0,0.01,0.02,0.01,True
7.259987691379566,0.03585716942546093,0.0520278459756233,15.783966321447028,516.0,46.89922480620155,1.1351867686978812,2025-09-15 18:03:05,,,,0.55,1.0,0.01,0.02,0.02,True
4.243692310444502,0.02270775695513115,0.031884995849413,15.073138756446124,516.0,46.70542635658915,1.0826423270190977,2025-09-15 18:03:06,,,,0.55,1.0,0.01,0.03,0.01,True
4.243692310444502,0.02270775695513115,0.031884995849413,15.073138756446124,516.0,46.70542635658915,1.0826423270190977,2025-09-15 18:03:07,,,,0.55,1.0,0.01,0.03,0.02,True
6.267841675695851,0.029784394596191262,0.0459225965412815,16.6907932563234,516.0,46.70542635658915,1.119026210912947,2025-09-15 18:03:08,,,,0.55,1.0,0.01,0.05,0.01,True
6.267841675695851,0.029784394596191262,0.0459225965412815,16.6907932563234,516.0,46.70542635658915,1.119026210912947,2025-09-15 18:03:09,,,,0.55,1.0,0.01,0.05,0.02,True
4.042405830805729,0.020286132930439984,0.0264002977598108,15.783966321446908,516.0,46.89922480620155,1.0763764146886217,2025-09-15 18:03:10,,,,0.55,1.0,0.02,0.02,0.01,True
6.732157548457751,0.031727730503475195,0.0396033977950434,17.99701383680601,516.0,47.86821705426357,1.1252582634040376,2025-09-15 18:03:11,,,,0.55,1.0,0.02,0.02,0.02,True
1.1165931873081014,0.007298474220632335,0.0092225537440406,15.073138756446102,516.0,46.70542635658915,1.0266140191066366,2025-09-15 18:03:12,,,,0.55,1.0,0.02,0.03,0.01,True
3.730705462364381,0.019215785656929957,0.023309682122321,17.45386014837027,516.0,47.674418604651166,1.0735296004738866,2025-09-15 18:03:14,,,,0.55,1.0,0.02,0.03,0.02,True
3.080022181236486,0.015399097240882762,0.021178170245577,16.69079325632339,516.0,46.70542635658915,1.0611149843310594,2025-09-15 18:03:15,,,,0.55,1.0,0.02,0.05,0.01,True
5.744893917944327,0.026303252766620603,0.0346671126047295,19.026167574115604,516.0,47.674418604651166,1.10935622914257,2025-09-15 18:03:16,,,,0.55,1.0,0.02,0.05,0.02,True
1.0172673383128439,0.021677208176226138,0.0316683824861481,3.729808938671786,465.0,46.02150537634409,1.079240239248185,2025-09-15 18:03:17,,,,0.6,0.25,0.01,0.02,0.01,True
1.0172673383128439,0.021677208176226138,0.0316683824861481,3.729808938671786,465.0,46.02150537634409,1.079240239248185,2025-09-15 18:03:18,,,,0.6,0.25,0.01,0.02,0.02,True
0.29429986090874216,0.006867650902356717,0.0096888020078068,3.4325602514355458,465.0,45.806451612903224,1.024179525373319,2025-09-15 18:03:19,,,,0.6,0.25,0.01,0.03,0.01,True
0.29429986090874216,0.006867650902356717,0.0096888020078068,3.4325602514355458,465.0,45.806451612903224,1.024179525373319,2025-09-15 18:03:20,,,,0.6,0.25,0.01,0.03,0.02,True
0.7920383217568938,0.016044193040328333,0.0249844340325031,3.909436497107433,465.0,45.806451612903224,1.0623515431670667,2025-09-15 18:03:21,,,,0.6,0.25,0.01,0.05,0.01,True
0.7920383217568938,0.016044193040328333,0.0249844340325031,3.909436497107433,465.0,45.806451612903224,1.0623515431670667,2025-09-15 18:03:22,,,,0.6,0.25,0.01,0.05,0.02,True
0.2596410019326756,0.00567795494452979,0.0074177642337202,3.729808938671819,465.0,46.02150537634409,1.020726336789327,2025-09-15 18:03:23,,,,0.6,0.25,0.02,0.02,0.01,True
0.9032606490856798,0.018172942872516362,0.0227292775939126,4.156947180118397,465.0,47.096774193548384,1.0697304186518812,2025-09-15 18:03:24,,,,0.6,0.25,0.02,0.02,0.02,True
-0.45790424206860747,-0.008865995695126572,-0.0112271754444483,3.4325602514356013,465.0,45.806451612903224,0.968712934324232,2025-09-15 18:03:25,,,,0.6,0.25,0.02,0.03,0.01,True
0.1811091027663636,0.0041925483812398365,0.005087786253861,3.9040105257676982,465.0,46.88172043010753,1.0155648484651187,2025-09-15 18:03:26,,,,0.6,0.25,0.02,0.03,0.02,True
0.03610119593613348,0.0012489813249532554,0.0017287906293484,3.909436497107499,465.0,45.806451612903224,1.0048176664048498,2025-09-15 18:03:28,,,,0.6,0.25,0.02,0.05,0.01,True
0.6782858228794097,0.013116434523127517,0.0173649820642013,4.378558621936756,465.0,46.88172043010753,1.0531239523326443,2025-09-15 18:03:29,,,,0.6,0.25,0.02,0.05,0.02,True
1.9948195952251835,0.021677218714574877,0.0316684049776124,7.293835358497369,465.0,46.02150537634409,1.079240239248185,2025-09-15 18:03:30,,,,0.6,0.5,0.01,0.02,0.01,True
1.9948195952251835,0.021677218714574877,0.0316684049776124,7.293835358497369,465.0,46.02150537634409,1.079240239248185,2025-09-15 18:03:31,,,,0.6,0.5,0.01,0.02,0.02,True
0.5435843361066617,0.006867654364674604,0.009688808898942,6.727245163352347,465.0,45.806451612903224,1.024179525373319,2025-09-15 18:03:32,,,,0.6,0.5,0.01,0.03,0.01,True
0.5435843361066617,0.006867654364674604,0.009688808898942,6.727245163352347,465.0,45.806451612903224,1.024179525373319,2025-09-15 18:03:33,,,,0.6,0.5,0.01,0.03,0.02,True
1.5341615216842408,0.016044200368351264,0.0249844518026167,7.6372232593196365,465.0,45.806451612903224,1.0623515431670667,2025-09-15 18:03:34,,,,0.6,0.5,0.01,0.05,0.01,True
1.5341615216842408,0.016044200368351264,0.0249844518026167,7.6372232593196365,465.0,45.806451612903224,1.0623515431670667,2025-09-15 18:03:35,,,,0.6,0.5,0.01,0.05,0.02,True
0.4649229922014886,0.005677957558882389,0.0074177686956875,7.293835358497391,465.0,46.02150537634409,1.020726336789327,2025-09-15 18:03:36,,,,0.6,0.5,0.02,0.02,0.01,True
1.7577307469725634,0.018172951153877823,0.0227292905484686,8.112661057900405,465.0,47.096774193548384,1.0697304186518812,2025-09-15 18:03:38,,,,0.6,0.5,0.02,0.02,0.02,True
-0.9645441035737945,-0.0088659999131354,-0.0112271822082914,6.7272451633523245,465.0,45.806451612903224,0.968712934324232,2025-09-15 18:03:39,,,,0.6,0.5,0.02,0.03,0.01,True
0.3098689111074693,0.004192550353570143,0.0050877891584269,7.633959683321523,465.0,46.88172043010753,1.0155648484651187,2025-09-15 18:03:40,,,,0.6,0.5,0.02,0.03,0.02,True
0.011174673730973694,0.0012489818685695096,0.0017287916708631,7.637223259319614,465.0,45.806451612903224,1.0048176664048498,2025-09-15 18:03:41,,,,0.6,0.5,0.02,0.05,0.01,True
1.2981434816601078,0.013116440179129782,0.0173649919776947,8.535091783971982,465.0,46.88172043010753,1.0531239523326443,2025-09-15 18:03:42,,,,0.6,0.5,0.02,0.05,0.02,True
3.8259923175918864,0.02167722398375309,0.0316684162233565,13.957215023993385,465.0,46.02150537634409,1.079240239248185,2025-09-15 18:03:43,,,,0.6,1.0,0.01,0.02,0.01,True
3.8259923175918864,0.02167722398375309,0.0316684162233565,13.957215023993385,465.0,46.02150537634409,1.079240239248185,2025-09-15 18:03:44,,,,0.6,1.0,0.01,0.02,0.02,True
0.9062655136914399,0.006867656095834856,0.0096888123445133,12.92758473541964,465.0,45.806451612903224,1.024179525373319,2025-09-15 18:03:45,,,,0.6,1.0,0.01,0.03,0.01,True
0.9062655136914399,0.006867656095834856,0.0096888123445133,12.92758473541964,465.0,45.806451612903224,1.024179525373319,2025-09-15 18:03:46,,,,0.6,1.0,0.01,0.03,0.02,True
2.865610475122282,0.01604420403236524,0.024984460687683,14.586106930935472,465.0,45.806451612903224,1.0623515431670667,2025-09-15 18:03:48,,,,0.6,1.0,0.01,0.05,0.01,True
2.865610475122282,0.01604420403236524,0.024984460687683,14.586106930935472,465.0,45.806451612903224,1.0623515431670667,2025-09-15 18:03:49,,,,0.6,1.0,0.01,0.05,0.02,True
0.7114233461836594,0.0056779588660595915,0.0074177709266732,13.957215023993252,465.0,46.02150537634409,1.020726336789327,2025-09-15 18:03:50,,,,0.6,1.0,0.02,0.02,0.01,True
3.315060985754781,0.018172955294561387,0.0227292970257522,15.463096746288718,465.0,47.096774193548384,1.0697304186518812,2025-09-15 18:03:51,,,,0.6,1.0,0.02,0.02,0.02,True
-2.1207175815266988,-0.00886600202214132,-0.011227185590216,12.955954749374277,465.0,45.806451612903224,0.968712934324232,2025-09-15 18:03:52,,,,0.6,1.0,0.02,0.03,0.01,True
0.4097022593579691,0.004192551339735992,0.0050877906107111,14.60562220055227,465.0,46.88172043010753,1.0155648484651187,2025-09-15 18:03:53,,,,0.6,1.0,0.02,0.03,0.02,True
-0.22014899087676731,0.001248982140377814,0.001728792191621,14.58610693093554,465.0,45.806451612903224,1.0048176664048498,2025-09-15 18:03:54,,,,0.6,1.0,0.02,0.05,0.01,True
2.359405215850363,0.013116443007132744,0.0173649969344456,16.232181777684573,465.0,46.88172043010753,1.0531239523326443,2025-09-15 18:03:55,,,,0.6,1.0,0.02,0.05,0.02,True
1.0017357487556167,0.023627962680193484,0.0345456591361739,3.839270131602668,420.0,45.95238095238095,1.086058605787792,2025-09-15 18:03:56,,,,0.65,0.25,0.01,0.02,0.01,True
1.0017357487556167,0.023627962680193484,0.0345456591361739,3.839270131602668,420.0,45.95238095238095,1.086058605787792,2025-09-15 18:03:57,,,,0.65,0.25,0.01,0.02,0.02,True
0.030048462598264436,0.0012285574071446731,0.0016602339975613,3.2360634185215176,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:03:58,,,,0.65,0.25,0.01,0.03,0.01,True
0.030048462598264436,0.0012285574071446731,0.0016602339975613,3.2360634185215176,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:00,,,,0.65,0.25,0.01,0.03,0.02,True
0.030048462598264436,0.0012285574071446731,0.0016602339975613,3.2360634185215176,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:01,,,,0.65,0.25,0.01,0.05,0.01,True
0.030048462598264436,0.0012285574071446731,0.0016602339975613,3.2360634185215176,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:02,,,,0.65,0.25,0.01,0.05,0.02,True
0.496095813128794,0.011551347635438896,0.0154728974896947,3.839270131602779,420.0,45.95238095238095,1.0420507771648164,2025-09-15 18:04:03,,,,0.65,0.25,0.02,0.02,0.01,True
1.2826711272596159,0.02883914023762173,0.0372403358666814,4.0629450532026485,420.0,47.14285714285714,1.1113411555034858,2025-09-15 18:04:04,,,,0.65,0.25,0.02,0.02,0.02,True
-0.47072696359045096,-0.010812057647321224,-0.013474685834041,3.2360634185215287,420.0,45.714285714285715,0.9634870965270064,2025-09-15 18:04:05,,,,0.65,0.25,0.02,0.03,0.01,True
0.30828110205023407,0.007851434355757646,0.0094420628088502,3.504313433841799,420.0,46.904761904761905,1.0281414472138748,2025-09-15 18:04:06,,,,0.65,0.25,0.02,0.03,0.02,True
-0.47072696359045096,-0.010812057647321224,-0.013474685834041,3.2360634185215287,420.0,45.714285714285715,0.9634870965270064,2025-09-15 18:04:07,,,,0.65,0.25,0.02,0.05,0.01,True
0.30828110205023407,0.007851434355757646,0.0094420628088502,3.504313433841799,420.0,46.904761904761905,1.0281414472138748,2025-09-15 18:04:08,,,,0.65,0.25,0.02,0.05,0.02,True
1.9684488916541287,0.023627974186840938,0.0345456837332406,7.510905494311004,420.0,45.95238095238095,1.086058605787792,2025-09-15 18:04:09,,,,0.65,0.5,0.01,0.02,0.01,True
1.9684488916541287,0.023627974186840938,0.0345456837332406,7.510905494311004,420.0,45.95238095238095,1.086058605787792,2025-09-15 18:04:10,,,,0.65,0.5,0.01,0.02,0.02,True
0.022428312400291084,0.0012285580554871928,0.0016602351815629,6.356460598345082,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:11,,,,0.65,0.5,0.01,0.03,0.01,True
0.022428312400291084,0.0012285580554871928,0.0016602351815629,6.356460598345082,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:13,,,,0.65,0.5,0.01,0.03,0.02,True
0.022428312400291084,0.0012285580554871928,0.0016602351815629,6.356460598345082,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:14,,,,0.65,0.5,0.01,0.05,0.01,True
0.022428312400291084,0.0012285580554871928,0.0016602351815629,6.356460598345082,420.0,45.714285714285715,1.0041239151646049,2025-09-15 18:04:15,,,,0.65,0.5,0.01,0.05,0.02,True
